               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092608,            0.053169,            0.037952,             0.34092,             0.58174,             0.35066,             0.07327,            0.062971,            0.033934,            0.034123,           0.0032639,           0.0032639,            0.070625
                   1,            0.079514,            0.034279,            0.025629,             0.46907,             0.79063,             0.66449,             0.21763,            0.067124,            0.021749,            0.012892,            0.006594,            0.006594,            0.040622
                   2,            0.074733,            0.026885,            0.013167,             0.67526,             0.70997,             0.81193,             0.22013,            0.065617,             0.02064,           0.0069185,           0.0099207,           0.0099207,            0.010615
                   3,            0.066253,            0.024963,           0.0090623,              0.6558,             0.72525,             0.69478,             0.21755,            0.051341,            0.019379,            0.003834,           0.0099851,           0.0099851,           0.0099851
                   4,            0.052339,            0.023472,           0.0070062,             0.83981,             0.79155,             0.88046,              0.4781,            0.038737,            0.015512,           0.0041106,           0.0099851,           0.0099851,           0.0099851
                   5,            0.043221,            0.021609,           0.0055324,              0.8759,             0.90898,             0.95906,              0.5739,            0.029918,            0.015382,           0.0052892,           0.0099802,           0.0099802,           0.0099802
                   6,            0.040725,            0.021297,           0.0049155,             0.89774,             0.94884,             0.96283,             0.51105,            0.035378,            0.014369,           0.0057472,           0.0099753,           0.0099753,           0.0099753
                   7,             0.03461,             0.02008,           0.0041805,             0.99397,             0.98689,             0.99455,             0.69789,            0.023823,            0.013363,           0.0031269,           0.0099703,           0.0099703,           0.0099703
                   8,            0.032535,            0.019108,            0.004146,              0.9894,             0.99224,              0.9945,             0.69252,            0.023107,            0.013005,            0.002682,           0.0099654,           0.0099654,           0.0099654
                   9,            0.033813,            0.018916,           0.0035324,             0.99332,             0.99225,             0.99469,             0.70497,            0.022225,            0.013002,           0.0024619,           0.0099604,           0.0099604,           0.0099604
                  10,            0.033588,            0.019227,           0.0035945,             0.99735,             0.97886,             0.99448,             0.69185,            0.022701,            0.013038,           0.0027146,           0.0099555,           0.0099555,           0.0099555
                  11,            0.031078,            0.019062,           0.0033433,             0.99871,             0.98297,             0.99454,             0.60148,            0.026461,             0.01293,           0.0019912,           0.0099505,           0.0099505,           0.0099505
                  12,            0.030651,             0.01891,           0.0032934,             0.99841,             0.98749,             0.99464,             0.69668,            0.024879,            0.012897,           0.0022618,           0.0099456,           0.0099456,           0.0099456
                  13,            0.029863,            0.018173,           0.0031789,             0.99445,             0.99492,              0.9944,             0.74371,            0.020605,             0.01206,           0.0018951,           0.0099406,           0.0099406,           0.0099406
                  14,            0.026577,            0.017528,           0.0030653,             0.99463,             0.98653,             0.99469,             0.70515,            0.022078,            0.012336,           0.0022494,           0.0099357,           0.0099357,           0.0099357
